vehicle_id,t,x,y,speed
1,0,500.0,200,54.38
2,18,514.94,203,66.74
3,36,529.55,206,69.75
4,54,543.5,209,62.37
5,72,556.46,212,47.18
6,90,568.16,215,50.52
7,108,578.33,218,64.55
8,126,586.74,221,70.0
9,144,593.2,224,64.97
10,162,597.57,227,51.22
11,180,599.75,230,46.45
12,198,599.69,233,61.87
13,216,597.38,236,69.65
14,234,592.9,239,67.07
15,252,586.32,242,55.03
16,270,577.81,245,42.25
17,288,567.55,248,58.75
18,306,555.77,251,68.7
19,324,542.74,254,68.62
20,342,528.75,257,58.54
1,360,514.11,260,57.95
2,378,499.16,263,41.25
3,396,484.23,266,55.9
4,414,469.65,269,67.48
5,432,455.75,272,69.47
6,450,442.84,275,61.17
7,468,431.22,278,45.46
8,486,421.15,281,52.15
9,504,412.84,284,65.51
10,522,406.49,287,69.97
11,540,402.25,290,63.95
12,558,400.19,293,49.57
13,576,400.38,296,48.15
14,594,402.81,299,63.03
15,612,407.42,302,69.86
16,630,414.11,305,66.26
17,648,422.72,308,53.49
18,666,433.08,311,44.0
19,684,444.93,314,60.09
20,702,458.02,317,69.16
1,720,472.06,320,69.33
2,738,486.72,323,67.77
3,756,501.68,326,56.52
4,774,516.6,329,40.5
5,792,531.15,332,57.35
6,810,545.0,335,68.14
7,828,557.84,338,69.1
8,846,569.38,341,59.89
9,864,579.37,344,43.73
10,882,587.57,347,53.73
11,900,593.8,350,66.39
12,918,597.93,353,69.84
13,936,599.85,356,62.86
14,954,599.54,359,47.9
15,972,596.99,362,49.82
16,990,592.26,365,64.11
17,1008,585.46,368,69.98
18,1026,576.74,371,65.37
19,1044,566.3,374,51.9
20,1062,554.36,377,45.73
1,1080,541.21,380,46.45
2,1098,527.13,383,61.87
3,1116,512.45,386,69.65
4,1134,497.48,389,67.07
5,1152,482.57,392,55.03
6,1170,468.05,395,42.25
7,1188,454.25,398,58.75
8,1206,441.47,401,68.7
9,1224,430.01,404,68.62
10,1242,420.12,407,58.54
11,1260,412.03,410,41.99
12,1278,405.91,413,55.26
13,1296,401.91,416,67.18
14,1314,400.1,419,69.6
15,1332,400.54,422,61.69
16,1350,403.22,425,46.19
17,1368,408.07,428,51.46
18,1386,414.98,431,65.11
19,1404,423.8,434,69.99
20,1422,434.33,437,64.39
1,1440,446.34,440,63.95
2,1458,459.56,443,49.57
3,1476,473.68,446,48.15
4,1494,488.39,449,63.03
5,1512,503.36,452,69.86
6,1530,518.26,455,66.26
7,1548,532.75,458,53.49
8,1566,546.5,461,44.0
9,1584,559.21,464,60.09
10,1602,570.59,467,69.16
11,1620,580.38,470,68.05
12,1638,588.37,473,57.14
13,1656,594.37,476,40.24
14,1674,598.25,479,56.74
15,1692,599.93,482,67.87
16,1710,599.36,485,69.27
17,1728,596.57,488,60.44
18,1746,591.6,491,44.47
19,1764,584.57,494,53.06
20,1782,575.65,497,66.03
1,1800,565.03,500,66.39
2,1818,552.95,503,69.84
3,1836,539.67,506,62.86
4,1854,525.51,509,47.9
5,1872,510.78,512,49.82
6,1890,495.8,515,64.11
7,1908,480.91,518,69.98
8,1926,466.46,521,65.37
9,1944,452.76,524,51.9
10,1962,440.12,527,45.73
11,1980,428.82,530,61.35
12,1998,419.12,533,69.52
13,2016,411.24,536,67.38
14,2034,405.36,539,55.67
15,2052,401.59,542,41.51
16,2070,400.04,545,58.17
17,2088,400.73,548,68.47
18,2106,403.66,551,68.83
19,2124,408.74,554,59.12
20,2142,415.88,557,42.73
1,2160,424.9,560,41.99
2,2178,435.61,563,55.26
3,2196,447.77,566,67.18
4,2214,461.1,569,69.6
5,2232,475.3,572,61.69
6,2250,490.06,575,46.19
7,2268,505.04,578,51.46
8,2286,519.91,581,65.11
9,2304,534.33,584,69.99
10,2322,547.98,587,64.39
11,2340,560.55,590,50.27
12,2358,571.77,593,47.44
13,2376,581.37,596,62.55
14,2394,589.14,599,69.78
15,2412,594.91,602,66.61
16,2430,598.55,605,54.15
17,2448,599.98,608,43.26
18,2466,599.16,611,59.53
19,2484,596.12,614,68.98
20,2502,590.91,617,68.3
1,2520,583.67,620,68.05
2,2538,574.54,623,57.14
3,2556,563.74,626,40.24
4,2574,551.51,629,56.74
5,2592,538.13,632,67.87
6,2610,523.88,635,69.27
7,2628,509.1,638,60.44
8,2646,494.12,641,44.47
9,2664,479.27,644,53.06
10,2682,464.88,647,66.03
11,2700,451.28,650,69.9
12,2718,438.78,653,63.33
13,2736,427.65,656,48.61
14,2754,418.15,659,49.12
15,2772,410.48,662,63.66
16,2790,404.83,665,69.94
17,2808,401.31,668,65.76
18,2826,400.01,671,52.58
19,2844,400.95,674,44.99
20,2862,404.12,677,60.82
1,2880,409.44,680,61.35
2,2898,416.8,683,69.52
3,2916,426.02,686,67.38
4,2934,436.91,689,55.67
5,2952,449.21,692,41.51
6,2970,462.65,695,58.17
7,2988,476.94,698,68.47
8,3006,491.74,701,68.83
9,3024,506.72,704,59.12
10,3042,521.56,707,42.73
11,3060,535.91,710,54.62
12,3078,549.45,713,66.86
13,3096,561.88,716,69.71
14,3114,572.93,719,62.19
15,3132,582.33,722,46.92
16,3150,589.89,725,50.77
17,3168,595.43,728,64.7
18,3186,598.82,731,70.0
19,3204,600.0,734,64.82
20,3222,598.93,737,50.97
1,3240,595.64,740,50.27
2,3258,590.2,743,47.44
3,3276,582.73,746,62.55
4,3294,573.41,749,69.78
5,3312,562.44,752,66.61
6,3330,550.06,755,54.15
7,3348,536.57,758,43.26
8,3366,522.25,761,59.53
9,3384,507.43,764,68.98
10,3402,492.44,767,68.3
11,3420,477.62,770,57.74
12,3438,463.31,773,40.98
13,3456,449.82,776,56.12
14,3474,437.46,779,67.59
15,3492,426.5,782,69.42
16,3510,417.19,785,60.98
17,3528,409.74,788,45.2
18,3546,404.32,791,52.39
19,3564,401.05,794,65.65
20,3582,400.0,797,69.95
